SCHOOL-LEVEL TEST-BY-TEST PASS AND PASS ADVANCED,,,,,,8/10/2015,,
DIVISION,SCHOOL,SUBJECT,GRADE,TEST,PASS 2013-2014,PASS 2014-2015,ADVANCED 2013-2014,ADVANCED 2014-2015
Albemarle County ,Joseph T. Henley Middle,Mathematics,End of Course,Algebra II,,<,,<
Albemarle County ,Joseph T. Henley Middle,Mathematics,End of Course,Geometry,100,100,90,86
Albemarle County ,Joseph T. Henley Middle,Science,Gr 8,Science,91,93,26,14
Albemarle County ,Joseph T. Henley Middle,Science,End of Course,Earth Science,<,,<,
Albemarle County ,Leslie H. Walton Middle,English: Reading,Gr 6,English Reading,62,68,18,14
Albemarle County ,Leslie H. Walton Middle,English: Reading,Gr 7,English Reading,66,66,11,16
Albemarle County ,Leslie H. Walton Middle,English: Reading,Gr 8,English Reading,64,65,5,6
Albemarle County ,Leslie H. Walton Middle,English: Writing,Gr 8,Writing,54,55,10,15
Albemarle County ,Leslie H. Walton Middle,History and Social Sciences,Content Specific,Civics & Econ,84,81,27,26
Albemarle County ,Leslie H. Walton Middle,Mathematics,Gr 6,Mathematics,60,72,1,2
Albemarle County ,Leslie H. Walton Middle,Mathematics,Gr 7,Mathematics,61,60,17,17
Albemarle County ,Leslie H. Walton Middle,Mathematics,Gr 8,Mathematics,64,54,0,0
Albemarle County ,Leslie H. Walton Middle,Mathematics,End of Course,Algebra I,97,95,13,21
Albemarle County ,Leslie H. Walton Middle,Mathematics,End of Course,Geometry,100,100,30,50
Albemarle County ,Leslie H. Walton Middle,Science,Gr 8,Science,73,71,10,9
Albemarle County ,Mary Carr Greer Elementary,English: Reading,Gr 3,English Reading,50,63,16,10
Albemarle County ,Mary Carr Greer Elementary,English: Reading,Gr 4,English Reading,50,57,16,12
Albemarle County ,Mary Carr Greer Elementary,English: Reading,Gr 5,English Reading,69,58,13,20
Albemarle County ,Mary Carr Greer Elementary,History and Social Sciences,Content Specific,VA Studies,61,61,14,15
Albemarle County ,Mary Carr Greer Elementary,Mathematics,Gr 3,Mathematics,27,59,4,4
Albemarle County ,Mary Carr Greer Elementary,Mathematics,Gr 4,Mathematics,63,58,29,18
Albemarle County ,Mary Carr Greer Elementary,Mathematics,Gr 5,Mathematics,68,55,33,16
Albemarle County ,Mary Carr Greer Elementary,Science,Gr 5,Science,66,53,13,7
Albemarle County ,Meriwether Lewis Elementary,English: Reading,Gr 3,English Reading,76,86,18,29
Albemarle County ,Meriwether Lewis Elementary,English: Reading,Gr 4,English Reading,89,78,24,19
Albemarle County ,Meriwether Lewis Elementary,English: Reading,Gr 5,English Reading,88,90,34,45
Albemarle County ,Meriwether Lewis Elementary,History and Social Sciences,Content Specific,VA Studies,94,97,66,72
Albemarle County ,Meriwether Lewis Elementary,Mathematics,Gr 3,Mathematics,68,77,22,23
Albemarle County ,Meriwether Lewis Elementary,Mathematics,Gr 4,Mathematics,79,79,23,19
Albemarle County ,Meriwether Lewis Elementary,Mathematics,Gr 5,Mathematics,88,92,35,23
Albemarle County ,Meriwether Lewis Elementary,Science,Gr 5,Science,92,90,39,40
Albemarle County ,Monticello High,English: Reading,End of Course,English Reading,90,88,11,9
Albemarle County ,Monticello High,English: Writing,End of Course,Writing,84,75,18,22
Albemarle County ,Monticello High,History and Social Sciences,End of Course,Geography,82,85,8,5
Albemarle County ,Monticello High,History and Social Sciences,End of Course,VA & US History,83,77,9,7
Albemarle County ,Monticello High,History and Social Sciences,End of Course,World History I,94,100,15,21
Albemarle County ,Monticello High,History and Social Sciences,End of Course,World History II,85,83,13,9
Albemarle County ,Monticello High,Mathematics,End of Course,Algebra I,82,67,1,2
Albemarle County ,Monticello High,Mathematics,End of Course,Algebra II,84,73,18,22
Albemarle County ,Monticello High,Mathematics,End of Course,Geometry,78,70,2,4
Albemarle County ,Monticello High,Science,End of Course,Biology,89,82,15,12
Albemarle County ,Monticello High,Science,End of Course,Chemistry,84,83,16,18
Albemarle County ,Monticello High,Science,End of Course,Earth Science,91,83,9,6
Albemarle County ,Mortimer Y. Sutherland Middle,English: Reading,Gr 6,English Reading,88,87,29,19
Albemarle County ,Mortimer Y. Sutherland Middle,English: Reading,Gr 7,English Reading,83,94,27,29
Albemarle County ,Mortimer Y. Sutherland Middle,English: Reading,Gr 8,English Reading,87,85,19,16
Albemarle County ,Mortimer Y. Sutherland Middle,English: Writing,Gr 8,Writing,88,86,29,28
Albemarle County ,Mortimer Y. Sutherland Middle,History and Social Sciences,Content Specific,Civics & Econ,95,96,49,46
Albemarle County ,Mortimer Y. Sutherland Middle,Mathematics,Gr 6,Mathematics,54,79,3,2
Albemarle County ,Mortimer Y. Sutherland Middle,Mathematics,Gr 7,Mathematics,75,75,18,7
Albemarle County ,Mortimer Y. Sutherland Middle,Mathematics,Gr 8,Mathematics,51,47,7,2
Albemarle County ,Mortimer Y. Sutherland Middle,Mathematics,End of Course,Algebra I,97,95,13,23
Albemarle County ,Mortimer Y. Sutherland Middle,Mathematics,End of Course,Algebra II,<,<,<,<
Albemarle County ,Mortimer Y. Sutherland Middle,Mathematics,End of Course,Geometry,100,100,52,43
Albemarle County ,Mortimer Y. Sutherland Middle,Science,Gr 8,Science,89,88,19,19
Albemarle County ,Mortimer Y. Sutherland Middle,Science,End of Course,Biology,<,,<,
Albemarle County ,Murray High,English: Reading,End of Course,English Reading,87,100,10,11
Albemarle County ,Murray High,English: Writing,End of Course,Writing,79,93,12,17
Albemarle County ,Murray High,History and Social Sciences,End of Course,Geography,100,75,23,0
Albemarle County ,Murray High,History and Social Sciences,End of Course,VA & US History,72,60,0,0
Albemarle County ,Murray High,History and Social Sciences,End of Course,World History II,67,82,7,36
Albemarle County ,Murray High,Mathematics,End of Course,Algebra I,96,82,0,0
Albemarle County ,Murray High,Mathematics,End of Course,Algebra II,93,54,0,15
